split,loser_visible,winner_visible,visible_benches,heldout_benches,n_visible_dominated,max_margin
0,BEE-spoke-data/smol_llama-220M-GQA,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,38.481228668941995
0,0-hero/Matter-0.2-7B-DPO,CohereForAI/c4ai-command-r-v01,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,34.4540264276564
0,Corianas/Quokka_2.7b,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,38.09386163963279
0,EleutherAI/pythia-160m,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,40.52901023890786
0,NYTK/PULI-LlumiX-32K,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,21.245123122573922
0,OpenAssistant/oasst-sft-1-pythia-12b,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,36.70294824514901
0,0-hero/Matter-0.2-7B-DPO,OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,21.906873761619167
0,Qwen/Qwen1.5-0.5B,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,31.825938566552903
0,0-hero/Matter-0.2-7B-DPO,Qwen/Qwen1.5-110B,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,34.22495147363442
0,TinyLlama/TinyLlama-1.1B-Chat-v0.6,0-hero/Matter-0.2-7B-DPO,"IFEval,BBH,GPQA,ARC,MMLU,Winogrande","MATH Lvl 5,MUSR,MMLU-PRO,HellaSwag,TruthfulQA,GSM8K",6,36.913256637056236
