model,params_b,type,arch,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K
01-ai/Yi-1.5-34B,34.389,🟢 pretrained,LlamaForCausalLM,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,65.78498293515358,86.10834495120494,77.9957192730956,53.84452997155903,84.0568271507498,73.23730098559514
01-ai/Yi-1.5-34B-Chat,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,60.66758423205982,44.262825981005655,27.7190332326284,15.324384787472036,13.058072916666664,39.11606087470449,70.4778156996587,85.96893049193388,77.08283992203879,62.15770288656476,81.61010260457773,71.64518574677786
01-ai/Yi-1.5-34B-Chat-16K,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.73671875,39.38386524822696,68.08873720136519,86.5166301533559,78.00358753548458,57.61262516867735,83.26756116811366,67.93025018953753
01-ai/Yi-1.5-6B,6.061,🟢 pretrained,LlamaForCausalLM,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333336,23.823507683215126,57.25255972696246,77.92272455686118,64.72689535017567,44.01764913300537,75.13812154696133,50.34116755117514
01-ai/Yi-1.5-6B-Chat,6.061,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,51.45270105542184,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788,60.665529010238906,78.86875124477196,64.24095801586486,52.57270462628132,73.55958958168904,67.09628506444277
01-ai/Yi-1.5-9B,8.829,🟢 pretrained,LlamaForCausalLM,29.35843561749492,30.50071699492122,11.404833836858003,17.225950782997764,12.030989583333332,32.402482269503544,61.86006825938567,80.37243576976698,70.73451954519469,46.74286312358864,77.97947908445147,62.69901440485216
01-ai/Yi-1.5-9B-Chat,8.829,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508,63.651877133105806,80.94005178251345,71.01349610420871,52.66590047794028,77.1902131018153,71.87263078089462
01-ai/Yi-1.5-9B-Chat-16K,8.829,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,42.14040966856828,31.49760894701832,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,64.3344709897611,80.91017725552678,70.95946328062593,51.01756398724204,74.9802683504341,59.66641394996209
01-ai/Yi-34B,34.389,🟢 pretrained,LlamaForCausalLM,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,64.59044368600682,85.69010157339176,76.35156727391681,56.23083932983032,83.03078137332281,50.644427596664144
01-ai/Yi-34B-200K,34.389,🟢 pretrained,LlamaForCausalLM,15.424850507763844,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.27304964539008,65.78498293515358,82.05536745668194,75.56180045111563,42.60214587740499,82.87292817679558,34.874905231235786
01-ai/Yi-34B-Chat,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165,65.10238907849829,84.07687711611233,74.86694971720243,55.411590107853335,79.7947908445146,19.787717968157693
01-ai/Yi-6B,6.061,🟢 pretrained,LlamaForCausalLM,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,55.54607508532423,76.41904003186616,63.84606128348609,41.8637665368342,73.79636937647987,12.661106899166036
01-ai/Yi-6B-200K,6.061,🟢 pretrained,LlamaForCausalLM,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,53.7542662116041,75.57259510057757,64.64867451074461,41.56353427419322,73.63851617995265,31.387414708112203
01-ai/Yi-9B,8.829,🟢 pretrained,LlamaForCausalLM,27.08779372066118,27.62695611207793,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,61.17747440273038,78.81896036646087,70.06330822380845,42.448173501507824,77.50591949486977,48.9764973464746
01-ai/Yi-9B-200K,8.829,🟢 pretrained,LlamaForCausalLM,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,58.02047781569966,78.57996415056762,70.34013960436471,40.629087761155006,76.47987371744279,47.61182714177407
CausalLM/14B,14.0,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,27.882130524785342,24.780942674518663,7.552870090634441,7.046979865771815,11.468229166666667,24.682328605200944,56.655290102389074,79.07787293367855,65.86320847049085,47.747784091321385,74.90134175217048,58.605003790750565
CausalLM/34b-beta,34.389,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,30.43247472262486,36.677226262739055,4.833836858006042,12.863534675615217,6.924739583333334,48.05518617021277,70.56313993174061,84.19637522405895,85.60240455524627,58.37785963295662,81.29439621152328,58.22592873388931
CohereForAI/aya-23-8B,8.028,"💬 chat models (RLHF, DPO, IFT, ...)",CohereForCausalLM,46.98887839820566,20.20376064673937,1.6616314199395772,4.586129753914992,8.424479166666664,14.2010195035461,53.49829351535836,78.03226448914559,56.33899126009816,42.93654330376981,72.77032359905287,43.51781652767248
CohereForAI/c4ai-command-r-plus,103.811,"💬 chat models (RLHF, DPO, IFT, ...)",CohereForCausalLM,76.64186580495308,39.91995423143177,8.006042296072508,7.38255033557047,20.42317708333333,33.242833924349874,70.98976109215018,88.55805616411074,75.72824616707308,56.30078705194536,85.39857932123125,70.73540561031083
CohereForAI/c4ai-command-r-v01,34.981,"💬 chat models (RLHF, DPO, IFT, ...)",CohereForCausalLM,67.48194789824333,34.556659257058264,3.474320241691843,7.606263982102905,16.12890625,26.326093380614655,65.52901023890784,87.00458076080461,68.19530224441294,52.31991183271746,81.53117600631413,56.633813495072026
Deci/DeciLM-7B,7.044,🟢 pretrained,DeciLMForCausalLM,28.129474239462404,21.252729791067395,2.8700906344410875,6.040268456375841,13.0484375,18.799867021276597,59.38566552901023,82.513443537144,59.76293892443911,40.32625331106103,79.95264404104184,47.38438210765732
Deci/DeciLM-7B-instruct,7.044,"💬 chat models (RLHF, DPO, IFT, ...)",DeciLMForCausalLM,48.802399854608,23.8871490441846,3.0211480362537766,5.257270693512303,5.985416666666667,17.86716903073286,61.00682593856656,82.37402907787293,60.24359775384097,49.75365084602664,79.71586424625099,46.01971190295679
EleutherAI/gpt-neo-1.3B,1.366,🟢 pretrained,GPTNeoForCausalLM,20.790502533278367,3.024569180930987,1.0574018126888218,0.7829977628635317,4.873697916666666,1.8173758865248215,31.22866894197952,48.46644094801832,24.821655499137048,39.62930604436832,56.9060773480663,0.4548900682335102
EleutherAI/gpt-neo-125m,0.15,🟢 pretrained,GPTNeoForCausalLM,19.054442213327302,3.436738951426704,0.6042296072507553,0.4474272930648763,2.6166666666666654,0.2844267139479898,22.95221843003413,30.26289583748257,25.970391377823336,45.5761630633801,51.77584846093133,0.3032600454890068
EleutherAI/gpt-neo-2.7B,2.718,🟢 pretrained,GPTNeoForCausalLM,25.896288514474925,4.178602667081014,1.0574018126888218,2.1252796420581683,3.5205729166666675,1.8081412529550824,33.36177474402731,56.24377614021111,26.45397884474629,39.77795990878021,60.063141278610885,1.288855193328279
EleutherAI/pythia-1.4b,1.515,🟢 pretrained,GPTNeoXForCausalLM,23.708094522533543,3.878989478987103,1.5105740181268883,1.5659955257270708,4.02265625,1.3648788416075646,31.48464163822526,52.85799641505676,25.80246329076741,38.84599873378337,58.011049723756905,1.516300227445034
EleutherAI/pythia-160m,0.213,🟢 pretrained,GPTNeoXForCausalLM,18.15516163778773,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,22.781569965870307,30.342561242780324,24.95059339350269,44.26308210078121,51.53906866614049,0.2274450341167551
EleutherAI/pythia-410m,0.506,🟢 pretrained,GPTNeoXForCausalLM,21.954525104500505,2.7154281203357478,0.9818731117824772,1.230425055928408,3.0598958333333326,1.4202866430260035,26.19453924914676,40.84843656642103,27.245507410753596,41.21958367286861,53.11760063141279,0.6823351023502654
HuggingFaceH4/zephyr-7b-alpha,7.242,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,51.91480826429429,23.890291427068444,1.9637462235649543,6.375838926174497,7.503125000000001,19.94496158392435,61.00682593856656,84.03704441346346,61.3896585162216,57.90339154881959,78.61089187056038,14.025777103866568
HuggingFaceH4/zephyr-7b-beta,7.242,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,49.50431521695767,21.487542182806735,2.8700906344410875,5.369127516778524,7.7343749999999964,19.78797281323877,62.03071672354948,84.53495319657439,61.061389920377685,57.44145546466379,78.05840568271508,11.372251705837757
HuggingFaceH4/zephyr-7b-gemma-v0.1,8.538,"💬 chat models (RLHF, DPO, IFT, ...)",GemmaForCausalLM,33.637415391162115,23.751162749201274,8.157099697885197,5.92841163310962,4.179427083333334,20.526743498817968,57.93515358361775,82.91177056363274,58.97589070300901,52.47360246669454,72.53354380426204,44.04852160727824
Intel/neural-chat-7b-v3,7.0,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,27.779735546128716,30.205692320538088,2.9456193353474323,5.592841163310966,23.01953125,18.873744089834517,67.15017064846417,83.29018123879706,62.26105246211977,58.76875540849609,78.05840568271508,1.2130401819560273
Intel/neural-chat-7b-v3-1,7.242,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,46.86897432146704,29.7397523676162,3.5498489425981874,5.369127516778524,22.236979166666657,18.642878250591018,64.24914675767917,82.49352718581956,60.791623329684086,56.39976168180672,77.34806629834254,18.11978771796816
Intel/neural-chat-7b-v3-2,7.0,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,49.88397452093778,30.237457969159426,4.758308157099698,5.369127516778524,20.05677083333333,18.522828014184395,67.4914675767918,83.91754630551684,63.55010505598717,59.68243139193981,79.95264404104184,55.117513267627
Intel/neural-chat-7b-v3-3,7.0,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,47.62585495374495,27.753850886523697,4.078549848942599,5.257270693512303,20.578125,18.05186170212766,66.89419795221842,85.26190001991635,63.07073351412039,63.01479198844473,79.63693764798737,61.10689916603488
LLM360/K2,65.286,🟢 pretrained,LlamaForCausalLM,22.52157608478836,28.220402834201128,2.719033232628399,3.5794183445190177,8.550000000000004,22.27208924349881,64.16382252559727,85.69010157339176,67.91233193010133,40.76309789663512,80.11049723756905,48.74905231235785
Nexusflow/NexusRaven-V2-13B,13.0,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,17.90781792311068,15.336448395229596,2.9456193353474323,1.342281879194629,3.7109375,9.685283687943262,45.136518771331055,67.39693288189603,44.87880425591219,44.53595923052835,66.37726913970008,20.92494313874147
NousResearch/Hermes-2-Pro-Llama-3-8B,8.031,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,53.61839918084017,30.667993420825,8.38368580060423,5.7046979865771785,11.246614583333336,22.798463356973997,63.48122866894198,83.22047400916152,64.79850156958106,56.56013468112258,76.40094711917916,67.93025018953753
NousResearch/Hermes-2-Pro-Mistral-7B,7.242,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,56.68337788179808,29.427578860536,6.042296072507553,3.1319910514541416,14.132552083333335,21.625664893617017,64.16382252559727,82.73252340171281,62.20609448217756,58.99114428497659,75.61168113654301,60.424564063684606
NousResearch/Hermes-2-Theta-Llama-3-8B,8.03,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,65.17883659800441,32.046073848075835,9.667673716012084,7.158836689038028,8.36197916666667,26.316858747044915,63.13993174061433,82.56323441545509,66.51191133673278,55.74103812875774,76.55880031570639,70.73540561031083
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,7.242,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,57.62510139762497,27.792545658366084,4.758308157099697,5.7046979865771785,8.330729166666668,22.392139479905435,66.04095563139933,84.95319657438756,63.35665912550744,55.74956853451161,78.05840568271508,60.424564063684606
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,46.703,"💬 chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,58.96898008395502,37.10778379133987,12.235649546827794,9.50782997762864,16.676041666666666,29.622857565011817,71.41638225255973,87.21370244971122,72.27737838264045,54.52997159350775,82.63614838200473,70.65959059893859
NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,46.703,"💬 chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,57.30783210769647,30.594312778864406,2.114803625377644,6.935123042505594,11.138541666666669,22.95545212765957,69.7098976109215,86.73571001792472,72.20739527153786,51.22209779733843,82.9518547750592,69.59818043972706
NousResearch/Nous-Hermes-2-SOLAR-10.7B,10.732,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,52.78660620486975,34.990894584465195,5.740181268882175,5.8165548098434,13.826822916666664,27.314199172576835,66.72354948805462,84.89344752041426,66.29541259257003,55.82372806316004,82.79400157853196,69.44655041698256
NousResearch/Nous-Hermes-llama-2-7b,6.738,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,17.290788441335657,13.78941955171473,0.906344410876133,1.789709172259505,11.681510416666669,10.442523640661936,55.11945392491467,78.9384584744075,48.33523465369221,49.00744183013028,74.03314917127072,5.761940864291129
NousResearch/Yarn-Mistral-7b-128k,7.0,🟩 continuously pretrained,MistralForCausalLM,19.33669330709185,20.633112436478672,3.1722054380664653,6.487695749440718,8.948177083333333,21.034648345153663,59.64163822525597,82.50348536148178,63.02324877855956,41.78089706148495,76.95343330702447,32.60045489006823
NousResearch/Yarn-Mistral-7b-64k,7.0,🟩 continuously pretrained,MistralForCausalLM,20.79548930171944,20.23020020918289,3.700906344410876,5.369127516778524,9.881510416666666,21.26551418439716,59.89761092150171,82.513443537144,62.96478981633615,41.85573352353131,77.26913970007892,33.2827899924185
Open-Orca/Mistral-7B-OpenOrca,7.0,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,49.77659277384008,25.840025395269805,3.5498489425981874,2.9082774049217,5.889322916666667,18.36583924349882,64.07849829351537,83.98725353515236,62.24441734951871,53.0457680483314,77.7426992896606,19.9393479909022
OpenAssistant/oasst-sft-1-pythia-12b,12.0,🔶 fine-tuned on domain-specific datasets,GPTNeoXForCausalLM,10.553885911603434,4.778508799161477,1.5105740181268883,1.0067114093959737,2.987239583333334,1.2540632387706852,46.41638225255973,69.99601672973512,26.193572189883703,39.18763131130368,62.194159431728494,0.6065200909780136
Qwen/Qwen1.5-0.5B,0.62,🟢 pretrained,Qwen2ForCausalLM,17.056077873375976,5.035475836799366,1.7371601208459215,0.5592841163310973,4.303125,3.4149674940898342,31.48464163822526,49.05397331208923,39.35334081217581,38.29926844374736,57.22178374112076,16.300227445034114
Qwen/Qwen1.5-0.5B-Chat,0.62,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,18.072713732895387,4.318032636938059,0.6797583081570997,2.572706935123044,6.063541666666667,2.362219267139479,30.546075085324237,44.07488548097989,33.81983654590648,42.95422712870499,54.61720599842147,7.657316148597422
Qwen/Qwen1.5-1.8B,1.837,🟢 pretrained,Qwen2ForCausalLM,21.54239639711521,9.759901587727937,3.1722054380664653,7.38255033557047,3.963802083333334,9.79609929078014,37.8839590443686,61.42202748456482,46.70838530175783,39.42781424608406,60.29992107340174,33.586050037907505
Qwen/Qwen1.5-1.8B-Chat,1.837,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,20.190982149585324,5.908662877770453,1.9637462235649543,6.375838926174497,12.179427083333335,8.928043735224584,38.73720136518772,60.01792471619199,45.86651800528403,40.6175277448171,59.66850828729282,19.02956785443518
Qwen/Qwen1.5-110B,111.21,🟢 pretrained,Qwen2ForCausalLM,34.21942667677318,44.28047655387545,24.69788519637462,13.646532438478744,13.70546875,48.45227541371159,69.96587030716724,87.48257319259112,80.19575908781562,49.66492716220296,84.13575374901342,81.04624715693708
Qwen/Qwen1.5-110B-Chat,111.21,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,59.38864435254016,44.98454525616634,23.413897280966765,12.192393736017896,16.287499999999994,42.49593676122932,72.01365187713311,84.67436765584544,78.03946337687869,65.86438050595372,77.34806629834254,30.09855951478393
Qwen/Qwen1.5-14B,14.167,🟢 pretrained,Qwen2ForCausalLM,29.05368865720732,30.063103282917453,20.241691842900305,5.92841163310962,10.464062500000002,29.37352245862884,56.56996587030717,81.0794662417845,69.36026470831474,52.06092394796343,73.48066298342542,67.62699014404852
Qwen/Qwen1.5-14B-Chat,14.167,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,47.68082022367319,32.75647930053065,15.256797583081571,2.684563758389265,13.930729166666667,29.08724881796691,58.78839590443686,82.33419637522405,68.51540963742676,60.38018424004776,73.32280978689818,30.856709628506447
Qwen/Qwen1.5-32B,32.512,🟢 pretrained,Qwen2ForCausalLM,32.97295620065869,38.980351633108974,30.28700906344411,10.626398210290828,12.040625000000004,38.88519503546098,63.56655290102389,85.00298745269866,74.29961283965316,57.39444338569582,81.45224940805052,61.10689916603488
