model,parameters,open_source,ABench,AI2D,BLINK,CCBench,COCO_VAL,ChartQA_TEST,HallusionBench,LLaVABench,MMBench_TEST_CN,MMBench_TEST_CN_V11,MMBench_TEST_EN,MMBench_TEST_EN_V11,MME,MMMU_VAL,MMStar,MMT-Bench_VAL,MMVet,MTVQA,MathVista,OCRBench,OCRVQA_TESTCORE,POPE,QBench,RealWorldQA,SEEDBench2,SEEDBench2_Plus,SEEDBench_IMG,ScienceQA_TEST,ScienceQA_VAL,TextVQA_VAL,VCR,coverage
Mantis-8B-siglip-llama3,8B,Yes,71.1,60.4,47.1,37.3,18.2,42.9,34.2,55.5,65.3,63.1,69.0,66.1,1674.6,41.1,41.3,51.6,34.4,4.6,32.7,171,58.5,84.0,70.9,52.2,56.2,44.7,68.5,75.5,73.0,50.5,8.6,31
Phi-3-Vision,4.2B,Yes,68.2,78.4,43.3,24.1,15.8,81.8,39.0,63.9,62.4,59.8,73.6,70.5,1508.0,46.1,47.7,54.2,44.1,13.9,44.8,195,61.9,83.7,67.7,58.8,55.7,64.2,70.9,90.0,90.2,72.4,68.9,31
InternVL2-Llama3-76B,76B,Yes,73.9,87.6,57.5,81.2,15.2,88.1,55.4,96.3,86.5,85.5,86.5,85.5,2397.6,58.3,67.1,67.6,64.4,22.8,65.6,245,43.7,87.3,76.4,72.7,63.0,70.0,77.6,98.8,98.2,84.2,90.6,31
LLaVA-v1.5-7B,7.2B,Yes,65.6,55.5,39.7,17.8,19.8,17.8,27.6,61.8,46.4,43.9,66.5,62.3,1808.4,35.7,33.1,48.9,32.9,6.0,25.5,159,60.6,86.1,58.6,54.8,43.4,41.3,65.8,69.2,66.6,45.5,19.5,31
LLaVA-Next-Mistral-7B,7.6B,Yes,68.3,69.0,41.7,30.0,14.5,51.8,29.1,67.8,63.3,59.8,69.6,66.5,1821.2,37.0,38.4,50.3,42.2,11.7,34.9,191,61.2,87.3,63.2,60.0,54.7,49.3,72.4,73.0,69.5,65.2,59.9,31
LLaVA-Next-Vicuna-13B,13.4B,Yes,64.3,72.2,41.2,28.8,14.4,61.4,31.8,73.9,68.5,65.7,70.0,67.3,1745.6,37.3,40.4,52.1,44.9,13.1,35.1,169,65.3,87.8,64.6,57.6,55.0,55.6,71.4,73.7,71.4,66.9,57.7,31
LLaVA-Next-Interleave-7B,8B,Yes,68.9,73.8,51.3,44.3,14.3,49.2,34.8,71.5,72.5,69.4,74.7,72.8,1749.5,41.7,44.5,53.0,39.1,6.0,34.0,164,60.6,85.5,73.1,57.6,59.9,51.3,72.0,73.2,68.2,56.7,31.3,31
InternVL-Chat-V1.5,26B,Yes,71.7,80.6,46.6,69.8,15.9,83.9,47.4,83.3,80.7,79.1,82.3,80.3,2189.6,46.8,57.1,57.8,55.4,17.4,56.1,238,64.2,87.5,72.5,65.6,59.1,66.4,75.2,93.9,93.7,80.4,52.0,31
Eagle-X5-13B,15B,Yes,70.8,77.2,21.8,30.0,37.4,69.6,37.8,70.2,67.4,65.2,72.6,70.0,1847.8,39.7,43.7,53.7,42.6,15.3,40.8,155,65.0,89.8,67.4,62.9,44.5,60.2,74.0,71.8,70.6,71.8,,30
Ovis1.6-Llama3.2-3B,4.1B,Yes,75.2,77.8,43.8,36.3,14.0,75.6,43.8,84.2,74.7,71.9,78.5,76.2,1951.4,46.7,52.0,59.2,57.6,21.1,58.9,250,66.7,88.2,75.8,66.7,53.7,63.7,74.5,87.6,86.3,74.2,,30
