model,arena_score,battles
gemma-7b-it,1429.5740537265933,9777
llama-2-7b-chat,1429.0795306363375,15565
qwen-14b-chat,1428.2936430821576,5252
falcon-180b-chat,1426.9041304396062,1381
guanaco-33b,1423.1883068609031,3152
gemma-1.1-2b-it,1417.519205250402,12678
stripedhyena-nous-7b,1410.2111723268963,5449
olmo-7b-instruct,1406.4436846499211,6942
mistral-7b-instruct,1401.9848641119618,9549
palm-2,1398.885061157088,9145
vicuna-7b,1398.4517340605528,7319
qwen1.5-4b-chat,1390.0438426870585,8404
gemma-2b-it,1386.4273650493021,5263
koala-13b,1357.4649613519055,7260
chatglm3-6b,1348.79166130689,4903
gpt4all-13b-snoozy,1327.763765519479,1888
chatglm2-6b,1322.0426198467514,2855
mpt-7b-chat,1321.3575269073897,4161
RWKV-4-Raven-14B,1316.56595179856,5084
alpaca-13b,1296.7181097478117,6065
oasst-pythia-12b,1288.670978717898,6571
chatglm-6b,1274.846517582299,5150
fastchat-t5-3b,1265.5137118556163,4484
stablelm-tuned-alpha-7b,1237.3657895617987,3437
dolly-v2-12b,1214.8368582518615,3627
llama-13b,1193.0325035411076,2518
