model,params_b,type,arch,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO
MaziyarPanahi/calme-3.2-instruct-78b,77.965,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,80.62607215521483,62.609443282901594,40.33232628398791,20.3579418344519,38.52890624999999,70.03361406619385
MaziyarPanahi/calme-3.1-instruct-78b,77.965,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,81.35547015252862,62.40968270370106,39.274924471299094,19.463087248322143,36.49947916666666,68.72229609929079
dfurman/CalmeRys-78B-Orpo-v0.1,77.965,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,81.6327344778521,61.92476379259157,40.6344410876133,20.022371364653242,36.37213541666666,66.80149231678487
MaziyarPanahi/calme-2.4-rys-78b,77.965,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,80.10899967641413,62.15654929467119,40.70996978851964,20.3579418344519,34.56614583333333,66.690676713948
huihui-ai/Qwen2.5-72B-Instruct-abliterated,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,85.92667455684251,60.487869412693875,60.12084592145015,19.35123042505593,12.342187500000003,50.410017730496456
Qwen/Qwen2.5-72B-Instruct,72.706,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,86.3837949972739,61.873255668787884,59.818731117824775,16.666666666666664,11.742187500000005,51.39812352245864
MaziyarPanahi/calme-2.1-qwen2.5-72b,72.7,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,86.62360315075111,61.65570318314716,59.13897280966768,15.100671140939594,13.297135416666663,51.3242464539007
newsbang/Homer-v1.0-Qwen2.5-72B,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,76.27716680629618,62.27406507872839,49.01812688821752,22.14765100671141,17.89947916666667,57.16976950354611
ehristoforu/qwen2.5-test-32b-it,32.764,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,78.89499860370483,58.28330738049858,59.74320241691843,15.212527964205815,19.126562500000002,52.94954196217494
Saxo/Linkbricks-Horizon-AI-Avengers-V1-32B,32.76,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,79.71681804279312,57.633928620802884,60.27190332326284,14.988814317673373,18.155989583333334,53.25428486997635
MaziyarPanahi/calme-2.2-qwen2.5-72b,72.7,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,84.76763875406145,61.80360419146786,58.91238670694864,14.541387024608499,12.016666666666671,51.305777186761226
fluently-lm/FluentlyLM-Prinum,32.764,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,80.9033364805383,59.482203418427986,54.003021148036254,18.232662192393736,17.259895833333335,53.42050827423167
JungZoona/T3Q-Qwen2.5-14B-Instruct-1M-e3,0.0,❓ other,Unknown,73.2396707403024,65.46659667305961,28.625377643504528,22.259507829977633,38.688020833333326,54.270094562647756
JungZoona/T3Q-qwen2.5-14b-v1.0-e3,14.77,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,73.2396707403024,65.46659667305961,28.625377643504528,22.259507829977633,38.688020833333326,54.270094562647756
zetasepic/Qwen2.5-32B-Instruct-abliterated-v2,32.764,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,83.34131216283905,56.53381848053764,59.516616314199396,15.659955257270694,14.928385416666664,51.35195035460993
rubenroy/Gilgamesh-72B,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,84.86006019583593,61.83602130504769,43.80664652567976,19.239373601789712,17.664062499999996,53.3558658392435
maldv/Awqward2.5-32B-Instruct,32.764,🤝 base merges and moerges,Qwen2ForCausalLM,82.54697535871487,57.20733868173476,62.311178247734134,12.080536912751676,13.86953125,52.478575650118195
raphgg/test-2.5-72B,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,84.37047035199936,62.1541268705062,41.08761329305136,18.568232662192393,20.515104166666664,53.74372044917257
shuttleai/shuttle-3,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,81.5403130360776,64.05301565117443,45.996978851963746,21.588366890380314,14.64427083333333,52.40469858156028
Qwen/Qwen2.5-32B-Instruct,32.764,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,83.46121623957765,56.48934826159387,62.53776435045317,11.74496644295302,13.498958333333329,51.85062056737589
mistralai/Mistral-Large-Instruct-2411,122.61,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,84.00577135334247,52.7448919952634,49.546827794561935,24.94407158836689,17.216666666666665,50.687056737588655
rombodawg/Rombos-LLM-V2.5-Qwen-72b,72.706,🤝 base merges and moerges,Qwen2ForCausalLM,71.5535889218385,61.26714504573664,54.229607250755286,19.798657718120808,17.322916666666668,54.83340721040189
Saxo/Linkbricks-Horizon-AI-Avengers-V3-32B,32.764,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,82.48702332034557,56.527924000253876,61.78247734138973,11.74496644295302,13.832291666666665,51.822916666666664
zetasepic/Qwen2.5-72B-Instruct-abliterated,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,71.52610628687438,59.912975835046495,52.416918429003026,20.917225950782996,19.122916666666665,54.13157505910166
Saxo/Linkbricks-Horizon-AI-Avengers-V6-32B,32.76,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,82.08985491828349,56.186576093303636,62.2356495468278,11.297539149888143,13.661718749999997,51.915263002364064
tanliboy/lambda-qwen2.5-32b-dpo-test,32.764,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,80.83839767372794,54.40796058706255,61.027190332326285,14.205816554809845,13.328385416666663,51.739804964539005
maldv/Qwentile2.5-32B-Instruct,32.764,🤝 base merges and moerges,Qwen2ForCausalLM,73.93161256576994,57.205877636883635,52.190332326283986,17.897091722595075,19.96197916666667,54.214686761229316
rombodawg/Rombos-LLM-V2.5-Qwen-32b,32.764,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,68.26631116548536,58.261894086787414,49.546827794561935,19.574944071588366,24.727083333333336,54.621010638297875
OpenBuddy/openbuddy-llama3.3-70b-v24.1-131k,70.554,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,81.2080834408259,54.146647969721265,44.10876132930513,24.608501118568235,22.265885416666666,48.082890070921984
Saxo/Linkbricks-Horizon-AI-Avengers-V5-32B,32.764,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,75.15558717536138,56.67538301839144,54.607250755287005,14.093959731543624,20.591406250000002,52.912603427895974
Saxo/Linkbricks-Horizon-AI-Avengers-V4-32B,32.764,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,76.30963620970138,56.552203892922165,53.625377643504535,14.876957494407161,19.465885416666666,52.8017878250591
dnhkng/RYS-XLarge,77.965,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,79.95662619627035,58.77356748233938,42.522658610271904,17.897091722595075,23.721093749999998,49.20028073286053
ssmits/Qwen2.5-95B-Instruct,94.648,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,84.31051831363006,58.530351322851054,53.02114803625378,15.212527964205815,13.61484375,46.85468380614657
meta-llama/Llama-3.3-70B-Instruct,70.554,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,89.97581971391463,56.561410788022194,48.338368580060425,10.514541387024611,15.565624999999999,48.12906323877069
FINGU-AI/RomboUltima-32B,17.645,🤝 base merges and moerges,Qwen2ForCausalLM,66.71509372908326,56.67376969863417,53.85196374622356,16.21923937360179,21.721093749999998,53.20811170212767
MaziyarPanahi/calme-2.1-rys-78b,77.965,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,81.35547015252862,59.4700307859535,39.42598187311178,19.239373601789712,18.99739583333333,49.37573877068559
MaziyarPanahi/calme-2.3-rys-78b,77.965,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,80.65854155862002,59.57454695904105,39.803625377643506,20.581655480984338,16.999218749999997,49.7266548463357
MaziyarPanahi/calme-2.1-qwen2-72b,72.699,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,81.62774770941103,57.3258823447103,40.78549848942598,17.4496644295302,20.15234375,49.05252659574468
MaziyarPanahi/calme-2.2-rys-78b,77.965,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,79.86420475449586,59.268645675184494,40.70996978851964,20.917225950782996,16.82864583333333,48.72931442080378
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.2,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,68.78837041272712,59.0667326828602,43.126888217522655,21.140939597315437,19.730729166666666,53.47591607565011
dfurman/Qwen2-72B-Orpo-v0.1,72.699,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,78.79759039348927,57.41436351018751,40.55891238670695,17.897091722595075,20.87005208333333,49.49578900709219
dnhkng/RYS-XLarge-base,77.972,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,79.10233735377686,58.692146076576385,37.91540785498489,17.225950782997764,22.4171875,49.22798463356975
MaziyarPanahi/calme-2.2-qwen2-72b,72.706,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,80.08151704145003,56.79594225047665,45.31722054380665,16.554809843400445,16.516927083333332,49.27415780141844
arcee-ai/Arcee-Nova,72.706,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,79.07485471881274,56.74098753952074,43.80664652567976,18.008948545861294,17.220833333333328,49.46808510638298
wanlige/li-14b-v0.4,14.77,🤝 base merges and moerges,Qwen2ForCausalLM,81.32798751756451,50.384177102490106,55.740181268882175,11.85682326621924,16.349999999999998,46.30060579196218
Cran-May/tempmotacilla-cinerea-0308,14.766,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,80.84837121061007,50.59894860885105,55.51359516616314,14.988814317673373,12.669531249999999,47.224069148936174
Qwen/Qwen2-72B-Instruct,72.706,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,79.89168738945996,57.48300911876294,41.76737160120846,16.33109619686801,17.167968749999996,48.92324172576833
prithivMLmods/Galactic-Qwen-14B-Exp2,14.766,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,66.20300801872366,59.91731650130399,34.74320241691843,19.910514541387023,28.489843749999995,52.11842494089834
VAGOsolutions/Llama-3.1-SauerkrautLM-70b-Instruct,70.554,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,86.56365111238182,57.24162100868165,36.933534743202415,12.192393736017896,19.38541666666666,48.16600177304965
meta-llama/Llama-3.1-70B-Instruct,70.554,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,86.6885419575615,55.92799173898473,38.066465256797585,14.205816554809845,17.691145833333334,47.87972813238771
abacusai/Dracarys-72B-Instruct,72.706,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,78.55778224001206,56.93552010003367,39.65256797583081,18.791946308724835,16.81119791666666,49.51425827423168
Saxo/Linkbricks-Horizon-AI-Avengers-V2-32B,32.76,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,79.56444456264933,58.07744907944319,56.646525679758305,2.1252796420581683,11.179427083333337,52.44163711583924
MaziyarPanahi/calme-2.2-llama3.1-70b,70.554,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,85.92667455684251,54.20646208605566,43.65558912386707,9.955257270693513,17.06953125,49.05252659574468
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9.1,14.766,🤝 base merges and moerges,Qwen2ForCausalLM,80.02655177152178,50.73787805937095,54.68277945619335,12.416107382550338,14.757812499999998,47.23330378250591
MaziyarPanahi/calme-2.3-llama3.1-70b,70.554,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,86.04657863358113,55.58549511699308,39.274924471299094,12.527964205816552,17.736197916666658,48.4799793144208
pankajmathur/orca_mini_v8_1_70b,70.554,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,85.7143490383294,53.51972670972081,35.27190332326284,24.384787472035793,15.996874999999998,44.25975177304965
Sao10K/70B-L3.3-Cirrus-x1,70.554,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,66.80751517085777,57.132312166381276,37.38670694864049,26.62192393736018,21.42083333333333,48.646202718676115
anthracite-org/magnum-v1-72b,72.706,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,76.06484128778308,57.653184855142705,39.803625377643506,18.791946308724835,15.617187499999998,49.84670508274232
alpindale/magnum-72b-v1,72.706,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,76.06484128778308,57.653184855142705,39.803625377643506,18.791946308724835,15.617187499999998,49.64354314420804
tensopolis/lamarckvergence-14b-tensopolis-v1,14.766,🤝 base merges and moerges,Qwen2ForCausalLM,76.03735865281897,50.983494714854295,51.66163141993958,14.76510067114094,16.832291666666666,47.224069148936174
