model,params_b,type,arch,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO
01-ai/Yi-1.5-34B,34.389,🟢 pretrained,LlamaForCausalLM,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738257,11.217187500000003,40.732121749408975
01-ai/Yi-1.5-34B-32K,34.389,🟢 pretrained,LlamaForCausalLM,31.186917379220468,43.38184666762572,15.407854984894259,15.100671140939594,14.07786458333333,41.21232269503546
01-ai/Yi-1.5-34B-Chat,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,60.66758423205982,44.262825981005655,27.719033232628398,15.324384787472036,13.058072916666665,39.11606087470449
01-ai/Yi-1.5-34B-Chat-16K,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.736718750000001,39.383865248226954
01-ai/Yi-1.5-6B,6.061,🟢 pretrained,LlamaForCausalLM,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333335,23.823507683215126
01-ai/Yi-1.5-6B-Chat,6.061,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,51.452701055421834,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788
01-ai/Yi-1.5-9B,8.829,🟢 pretrained,LlamaForCausalLM,29.358435617494916,30.50071699492122,11.404833836858005,17.225950782997764,12.030989583333332,32.402482269503544
01-ai/Yi-1.5-9B-32K,8.829,🟢 pretrained,LlamaForCausalLM,23.031113002389215,28.937011582169664,10.80060422960725,14.541387024608499,10.82682291666667,30.721778959810877
01-ai/Yi-1.5-9B-Chat,8.829,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508
01-ai/Yi-1.5-9B-Chat-16K,8.829,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,42.14040966856828,31.497608947018318,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354
01-ai/Yi-34B,34.389,🟢 pretrained,LlamaForCausalLM,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855
01-ai/Yi-34B-200K,34.389,🟢 pretrained,LlamaForCausalLM,15.424850507763843,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.273049645390074
01-ai/Yi-34B-Chat,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165
01-ai/Yi-6B,6.061,🟢 pretrained,LlamaForCausalLM,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298
01-ai/Yi-6B-200K,6.061,🟢 pretrained,LlamaForCausalLM,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008
01-ai/Yi-6B-Chat,6.061,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113
01-ai/Yi-9B,8.829,🟢 pretrained,LlamaForCausalLM,27.08779372066118,27.626956112077934,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068
01-ai/Yi-9B-200K,8.829,🟢 pretrained,LlamaForCausalLM,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156
01-ai/Yi-Coder-9B-Chat,8.829,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,48.17041006750976,25.94315294491389,4.003021148036254,0.0,7.963802083333333,15.83554964539007
CausalLM/14B,14.0,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,27.882130524785346,24.780942674518666,7.552870090634441,7.046979865771815,11.468229166666669,24.682328605200944
CausalLM/34b-beta,34.389,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,30.43247472262486,36.677226262739055,4.833836858006042,12.863534675615215,6.924739583333334,48.05518617021277
CausalLM/preview-1-hf,9.543,🔶 fine-tuned on domain-specific datasets,GlmForCausalLM,55.58928088582738,10.100940706274752,3.0211480362537766,1.5659955257270708,1.1067708333333328,28.856382978723406
CohereForAI/aya-23-35B,34.981,"💬 chat models (RLHF, DPO, IFT, ...)",CohereForCausalLM,64.61932117891638,34.85836046775463,3.474320241691843,5.92841163310962,13.47369791666666,26.178339243498815
CohereForAI/aya-23-8B,8.028,"💬 chat models (RLHF, DPO, IFT, ...)",CohereForCausalLM,46.98887839820566,20.203760646739372,1.6616314199395772,4.5861297539149914,8.424479166666664,14.2010195035461
