model,params_b,type,arch,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K
0-hero/Matter-0.2-7B-DPO,7.242,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,33.02792147058693,10.055525080241036,1.4350453172205435,1.230425055928408,5.871874999999999,1.8173758865248215,63.31058020477816,83.16072495518821,62.89652043503271,50.300820385233294,80.26835043409629,56.93707354056103
01-ai/Yi-1.5-34B,34.389,🟢 pretrained,LlamaForCausalLM,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,65.78498293515358,86.10834495120494,77.9957192730956,53.84452997155903,84.0568271507498,73.23730098559514
01-ai/Yi-1.5-34B-Chat,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,60.66758423205982,44.262825981005655,27.7190332326284,15.324384787472036,13.058072916666664,39.11606087470449,70.4778156996587,85.96893049193388,77.08283992203879,62.15770288656476,81.61010260457773,71.64518574677786
01-ai/Yi-1.5-34B-Chat-16K,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.73671875,39.38386524822696,68.08873720136519,86.5166301533559,78.00358753548458,57.61262516867735,83.26756116811366,67.93025018953753
01-ai/Yi-1.5-6B,6.061,🟢 pretrained,LlamaForCausalLM,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333336,23.823507683215126,57.25255972696246,77.92272455686118,64.72689535017567,44.01764913300537,75.13812154696133,50.34116755117514
01-ai/Yi-1.5-6B-Chat,6.061,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,51.45270105542184,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788,60.665529010238906,78.86875124477196,64.24095801586486,52.57270462628132,73.55958958168904,67.09628506444277
01-ai/Yi-1.5-9B,8.829,🟢 pretrained,LlamaForCausalLM,29.35843561749492,30.50071699492122,11.404833836858003,17.225950782997764,12.030989583333332,32.402482269503544,61.86006825938567,80.37243576976698,70.73451954519469,46.74286312358864,77.97947908445147,62.69901440485216
01-ai/Yi-1.5-9B-Chat,8.829,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508,63.651877133105806,80.94005178251345,71.01349610420871,52.66590047794028,77.1902131018153,71.87263078089462
01-ai/Yi-1.5-9B-Chat-16K,8.829,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,42.14040966856828,31.49760894701832,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,64.3344709897611,80.91017725552678,70.95946328062593,51.01756398724204,74.9802683504341,59.66641394996209
01-ai/Yi-34B,34.389,🟢 pretrained,LlamaForCausalLM,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,64.59044368600682,85.69010157339176,76.35156727391681,56.23083932983032,83.03078137332281,50.644427596664144
01-ai/Yi-34B-200K,34.389,🟢 pretrained,LlamaForCausalLM,15.424850507763844,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.27304964539008,65.78498293515358,82.05536745668194,75.56180045111563,42.60214587740499,82.87292817679558,34.874905231235786
01-ai/Yi-34B-Chat,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165,65.10238907849829,84.07687711611233,74.86694971720243,55.411590107853335,79.7947908445146,19.787717968157693
01-ai/Yi-6B,6.061,🟢 pretrained,LlamaForCausalLM,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,55.54607508532423,76.41904003186616,63.84606128348609,41.8637665368342,73.79636937647987,12.661106899166036
01-ai/Yi-6B-200K,6.061,🟢 pretrained,LlamaForCausalLM,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,53.7542662116041,75.57259510057757,64.64867451074461,41.56353427419322,73.63851617995265,31.387414708112203
01-ai/Yi-9B,8.829,🟢 pretrained,LlamaForCausalLM,27.08779372066118,27.62695611207793,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,61.17747440273038,78.81896036646087,70.06330822380845,42.448173501507824,77.50591949486977,48.9764973464746
01-ai/Yi-9B-200K,8.829,🟢 pretrained,LlamaForCausalLM,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,58.02047781569966,78.57996415056762,70.34013960436471,40.629087761155006,76.47987371744279,47.61182714177407
152334H/miqu-1-70b-sf,68.977,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,51.81740005407873,43.807147003691966,12.462235649546828,13.422818791946312,17.209374999999998,35.865469858156025,73.03754266211604,88.60784704242182,75.49241448491702,69.38141094300269,85.31965272296765,67.70280515542078
4season/final_model_test_v2,21.421,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,31.911328608093196,47.410670136906425,8.38368580060423,10.290827740492167,12.430989583333334,28.08990839243498,77.73037542662115,90.85839474208323,67.85937998728824,79.15511171320915,86.26677190213103,66.94465504169825
AbacusResearch/Jallabi-34B,34.389,🤝 base merges and moerges,LlamaForCausalLM,35.28604103777975,43.61576498719506,5.211480362537765,11.85682326621924,20.23880208333333,40.90757978723404,66.04095563139933,83.80800637323243,76.39895778013425,51.4638994041072,81.45224940805052,65.20090978013646
Azure99/blossom-v5-32b,32.512,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,52.3544196066437,42.883055884713976,18.65558912386707,8.165548098434002,8.350000000000001,35.93934692671394,63.82252559726962,83.53913563035252,74.27133632678286,58.2411283755993,81.68902920284135,70.65959059893859
Azure99/blossom-v5-llama3-8b,8.03,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,43.4293230849701,18.306535405618444,5.13595166163142,2.0134228187919474,5.3109375000000005,13.397606382978722,56.8259385665529,83.05118502290381,65.48403336699266,57.12054383937213,78.37411207576953,44.4275966641395
Azure99/blossom-v5.1-34b,34.389,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,56.96562897556262,44.14770458838461,25.90634441087613,7.941834451901568,7.298958333333334,39.53161938534279,67.57679180887372,85.82951603266281,78.04983188277505,61.84494040730718,83.42541436464089,65.57998483699772
BEE-spoke-data/Meta-Llama-3-8Bee,8.03,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,19.506575885317623,24.19903269979749,4.833836858006042,8.501118568232664,6.242447916666666,24.66385933806146,58.61774744027304,81.47779326827326,66.0129517443997,42.896417720277256,77.1112865035517,39.8786959818044
BEE-spoke-data/smol_llama-101M-GQA,0.101,🟢 pretrained,LlamaForCausalLM,13.843712460715349,3.1980040943527936,0.6042296072507553,1.0067114093959737,4.275520833333334,1.1894208037825047,23.549488054607508,28.76916948814977,24.24182455884292,45.7575305625404,50.67087608524072,0.8339651250947688
BEE-spoke-data/smol_llama-220M-GQA,0.218,🟢 pretrained,LlamaForCausalLM,23.860468002677344,3.03784275772053,1.0574018126888218,0.7829977628635317,9.067708333333334,1.6603871158392434,24.829351535836174,29.76498705437164,25.84974776073331,44.553738237393866,50.98658247829518,0.6823351023502654
