_n,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,arena_chinese,arena_coding,arena_creative_writing,arena_english,arena_exclude_ties,arena_expert,arena_french,arena_german,arena_hard_prompts,arena_hard_prompts_english,arena_industry_business_and_management_and_financial_operations,arena_industry_entertainment_and_sports_and_media,arena_industry_legal_and_government,arena_industry_life_and_physical_and_social_science,arena_industry_mathematical,arena_industry_medicine_and_healthcare,arena_industry_software_and_it_services,arena_industry_writing_and_literature_and_language,arena_instruction_following,arena_japanese,arena_korean,arena_longer_query,arena_math,arena_multi_turn,arena_overall,arena_russian,arena_spanish,oe_aime2026_score,oe_evasionBench_score,oe_gpqa_score,oe_gsm8k_score,oe_hle_score,oe_hmmt2026_score,oe_mmluPro_score,oe_olmOcr_score,oe_swePro_score,oe_sweVerified_score,oe_terminalBench_score,oe_aggregate_score,alpaca_winrate,alpaca_lc_winrate
0hero/matter027bdpo,33.02792147058693,10.055525080241036,1.4350453172205435,1.230425055928408,5.871874999999999,1.8173758865248213,63.31058020477816,83.16072495518821,62.89652043503271,50.300820385233294,80.26835043409629,56.93707354056103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi1534b,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,65.78498293515358,86.10834495120494,77.9957192730956,53.84452997155903,84.0568271507498,73.23730098559514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi1534bchat,60.66758423205982,44.262825981005655,27.7190332326284,15.324384787472036,13.058072916666664,39.11606087470449,70.4778156996587,85.96893049193388,77.08283992203879,62.15770288656476,81.61010260457773,71.64518574677786,1273.569202565713,1246.2094970563548,1159.426797319421,1248.9619025372176,1098.2840722379897,1216.7841329183389,1211.7124062619198,1156.02759448197,1224.0816963091363,1239.8230920970163,1197.312522124126,1152.0613584118648,1252.3971892278364,1231.784914225262,1221.1590512430462,1228.8310415994736,1237.7364164086166,1174.0618883606785,1185.2265037146535,1075.4899014279754,1079.3816464118347,1201.515316219038,1212.1090443022758,1188.5283493087586,1212.4102722374714,1136.643739918835,1167.0480375050925,,,,,,,,,,,,,,
yi1534bchat16k,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.73671875,39.38386524822696,68.08873720136519,86.5166301533559,78.00358753548458,57.61262516867735,83.26756116811366,67.93025018953753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi156b,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333336,23.823507683215126,57.25255972696246,77.92272455686118,64.72689535017567,44.01764913300537,75.13812154696133,50.34116755117514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi156bchat,51.45270105542184,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788,60.665529010238906,78.86875124477196,64.24095801586486,52.57270462628132,73.55958958168904,67.09628506444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi159b,29.35843561749492,30.50071699492122,11.404833836858003,17.225950782997764,12.030989583333332,32.402482269503544,61.86006825938567,80.37243576976698,70.73451954519469,46.74286312358864,77.97947908445147,62.69901440485216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi159bchat,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508,63.651877133105806,80.94005178251345,71.01349610420871,52.66590047794028,77.1902131018153,71.87263078089462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi159bchat16k,42.14040966856828,31.49760894701832,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,64.3344709897611,80.91017725552678,70.95946328062593,51.01756398724204,74.9802683504341,59.66641394996209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi34b,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,64.59044368600682,85.69010157339176,76.35156727391681,56.23083932983032,83.03078137332281,50.644427596664144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
